BusNum,BusName,BusNomVolt,BusSlack,BusB:1,BusG:1,BusPUVolt,BusAngle,DCLossMultiplier,AreaNum,ZoneNum,BANumber,OwnerNum,SubNum,Latitude:1,Longitude:1,BusMonEle,LSName,BusVoltLim,TopologyBusType,Priority
1001,ODESSA 2 0,115.0,NO ,0,0,0.979435646,-22.73484371,1,1,9,1,1,1,31.906736,-102.262348,YES,Default,NO ,BusbarSection,0
1002,PRESIDIO 2 0,115.0,NO ,0,0,1.012736389,-18.0885449,1,1,9,1,1,2,29.888046,-104.519139,YES,Default,NO ,BusbarSection,0
1003,O DONNELL 1 0,115.0,NO ,0,0,1.009262896,-17.08669936,1,1,9,1,1,3,32.926389,-101.647778,YES,Default,NO ,BusbarSection,0
1004,O DONNELL 1 1,230.0,NO ,0,0,1.013070712,-18.93399888,1,1,9,1,1,3,32.926389,-101.647778,YES,Default,NO ,BusbarSection,0
1005,BIG SPRING 5 0,115.0,NO ,0,0,1.005576087,-16.0771571,1,1,9,1,1,4,32.2075,-101.388333,YES,Default,NO ,BusbarSection,0
1006,BIG SPRING 5 1,13.8,NO ,0,0,1,-13.90559068,1,1,9,1,1,4,32.2075,-101.388333,YES,Default,NO ,BusbarSection,0
1007,VAN HORN 0,115.0,NO ,0,0,1.019999981,-18.46721237,1,1,9,1,1,5,31.09348,-104.624514,YES,Default,NO ,BusbarSection,0
1008,IRAAN 2 0,115.0,NO ,0,0,1.019285058,-8.605207418,1,1,9,1,1,6,30.931467,-102.201433,YES,Default,NO ,BusbarSection,0
1009,IRAAN 2 1,13.8,NO ,0,0,1.009240168,-5.309597546,1,1,9,1,1,6,30.931467,-102.201433,YES,Default,NO ,BusbarSection,0
1010,PRESIDIO 1 0,115.0,NO ,0,0,1.019999981,-16.79235458,1,1,9,1,1,7,29.6,-104.3,YES,Default,NO ,BusbarSection,0
1011,PRESIDIO 1 1,22.0,NO ,0,0,1.020211138,-15.0098255,1,1,9,1,1,7,29.6,-104.3,YES,Default,NO ,BusbarSection,0
1012,SANDERSON 0,115.0,NO ,0,0,1.00599209,-25.34278347,1,1,9,1,1,8,30.028067,-101.970461,YES,Default,NO ,BusbarSection,0
1013,MONAHANS 2 0,115.0,NO ,0,0,1.005677204,-15.43656457,1,1,9,1,1,9,31.484586,-103.161046,YES,Default,NO ,BusbarSection,0
1014,GRANDFALLS 0,115.0,NO ,0,0,1.012350473,-11.91324967,1,1,9,1,1,10,31.169523,-103.085134,YES,Default,NO ,BusbarSection,0
1015,MARFA 0,115.0,NO ,0,0,1.021817688,-18.21450062,1,1,9,1,1,11,30.285296,-104.005761,YES,Default,NO ,BusbarSection,0
1016,GARDEN CITY 0,115.0,NO ,0,0,1.017406912,-15.48544784,1,1,9,1,1,12,31.763075,-101.501775,YES,Default,NO ,BusbarSection,0
1017,ODESSA 4 0,115.0,NO ,0,0,0.981673404,-21.42622154,1,1,9,1,1,13,31.725171,-102.413607,YES,Default,NO ,BusbarSection,0
1018,NOTREES 0,115.0,NO ,0,0,0.991146883,-20.21614829,1,1,9,1,1,14,31.799171,-102.632933,YES,Default,NO ,BusbarSection,0
1019,MIDLAND 4 0,115.0,NO ,0,0,0.99949185,-22.32041693,1,1,9,1,1,15,31.979427,-102.132366,YES,Default,NO ,BusbarSection,0
1020,BIG SPRING 1 0,115.0,NO ,0,0,1.019999981,-15.23006376,1,1,9,1,1,16,31.9925,-101.1167,YES,Default,NO ,BusbarSection,0
1021,BIG SPRING 1 1,13.8,NO ,0,0,1,-8.60676051,1,1,9,1,1,16,31.9925,-101.1167,YES,Default,NO ,BusbarSection,0
1022,O DONNELL 2 0,115.0,NO ,0,0,1.012423093,-16.20469254,1,1,9,1,1,17,32.929014,-101.578617,YES,Default,NO ,BusbarSection,0
1023,O DONNELL 2 1,13.8,NO ,0,0,1.00999999,-7.300392829,1,1,9,1,1,17,32.929014,-101.578617,YES,Default,NO ,BusbarSection,0
1024,ODESSA 6 0,115.0,NO ,0,0,0.994495051,-19.20024931,1,1,9,1,1,18,31.969312,-102.630882,YES,Default,NO ,BusbarSection,0
1025,BIG SPRINGS 0,115.0,NO ,0,0,1.016288348,-14.17040581,1,1,9,1,1,19,32.039,-101.22,YES,Default,NO ,BusbarSection,0
1026,BIG SPRINGS 1,13.8,NO ,0,0,1,-4.641462298,1,1,9,1,1,19,32.039,-101.22,YES,Default,NO ,BusbarSection,0
1027,MIDLAND 2 0,115.0,NO ,0,0,1.005304643,-25.83333597,1,1,9,1,1,20,32.321673,-102.042298,YES,Default,NO ,BusbarSection,0
1028,COAHOMA 0,115.0,NO ,0,0,1.015415939,-17.71713649,1,1,9,1,1,21,32.879511,-101.246784,YES,Default,NO ,BusbarSection,0
1029,MIDLAND 3 0,115.0,NO ,0,0,1.002417408,-24.85888757,1,1,9,1,1,22,31.992384,-102.081464,YES,Default,NO ,BusbarSection,0
1030,ALPINE 0,115.0,NO ,0,0,1.012229798,-13.41143039,1,1,9,1,1,23,29.802094,-103.22236,YES,Default,NO ,BusbarSection,0
1031,FORT DAVIS 0,115.0,NO ,0,0,1.012188838,-17.67225828,1,1,9,1,1,24,31.004969,-103.759065,YES,Default,NO ,BusbarSection,0
1032,MCCAMEY 1 0,115.0,NO ,0,0,1.000658346,-12.28047073,1,1,9,1,1,25,31.2092,-102.2417,YES,Default,NO ,BusbarSection,0
1033,MCCAMEY 1 1,230.0,NO ,0,0,1.016754179,-16.89851461,1,1,9,1,1,25,31.2092,-102.2417,YES,Default,NO ,BusbarSection,0
1034,BIG SPRING 4 0,115.0,NO ,0,0,1.004534502,-14.32034869,1,1,9,1,1,26,31.991442,-101.302637,YES,Default,NO ,BusbarSection,0
1035,BIG SPRING 4 1,13.8,NO ,0,0,1,-11.03041588,1,1,9,1,1,26,31.991442,-101.302637,YES,Default,NO ,BusbarSection,0
1036,CRANE 0,115.0,NO ,0,0,0.997624754,-12.52697175,1,1,9,1,1,27,31.186888,-102.596253,YES,Default,NO ,BusbarSection,0
1037,ODESSA 5 0,115.0,NO ,0,0,0.974504369,-22.54480019,1,1,9,1,1,28,31.799158,-102.47409,YES,Default,NO ,BusbarSection,0
1038,FORT STOCKTON 1 0,115.0,NO ,0,0,1.016567363,-7.646606964,1,1,9,1,1,29,30.772575,-102.505808,YES,Default,NO ,BusbarSection,0
1039,FORT STOCKTON 1 1,22.0,NO ,0,0,1,-2.263051745,1,1,9,1,1,29,30.772575,-102.505808,YES,Default,NO ,BusbarSection,0
1040,ANDREWS 0,115.0,NO ,0,0,0.994014532,-20.48004054,1,1,9,1,1,30,32.335729,-102.697303,YES,Default,NO ,BusbarSection,0
1041,FORSAN 0,115.0,NO ,0,0,1.001774615,-15.10750377,1,1,9,1,1,31,32.1408,-101.3986,YES,Default,NO ,BusbarSection,0
1042,FORSAN 1,13.8,NO ,0,0,1.001774615,-15.10750377,1,1,9,1,1,31,32.1408,-101.3986,YES,Default,NO ,BusbarSection,0
1043,FORSAN 2,13.8,NO ,0,0,1,-11.86417658,1,1,9,1,1,31,32.1408,-101.3986,YES,Default,NO ,BusbarSection,0
1044,BIG LAKE 0,115.0,NO ,0,0,1.006755455,-25.96388103,1,1,9,1,1,32,31.272551,-101.172783,YES,Default,NO ,BusbarSection,0
1045,MIDLAND 5 0,115.0,NO ,0,0,0.977425469,-24.44755585,1,1,9,1,1,33,32.053604,-102.20166,YES,Default,NO ,BusbarSection,0
1046,OZONA 0,115.0,NO ,0,0,1.017634374,-22.49139645,1,1,9,1,1,34,30.575618,-101.331239,YES,Default,NO ,BusbarSection,0
1047,MONAHANS 1 0,115.0,NO ,0,0,1.005250778,-13.35005009,1,1,9,1,1,35,31.5839,-102.9633,YES,Default,NO ,BusbarSection,0
1048,MONAHANS 1 1,18.0,NO ,0,0,1.005250778,-13.35005009,1,1,9,1,1,35,31.5839,-102.9633,YES,Default,NO ,BusbarSection,0
1049,MONAHANS 1 2,18.0,NO ,0,0,1.005250778,-13.35005009,1,1,9,1,1,35,31.5839,-102.9633,YES,Default,NO ,BusbarSection,0
1050,MONAHANS 1 3,18.0,NO ,0,0,1,-8.284788985,1,1,9,1,1,35,31.5839,-102.9633,YES,Default,NO ,BusbarSection,0
