BusNum,BusName,BusNomVolt,BusPUVolt,BusAngle,BusG:1,BusB:1,AreaNum,ZoneNum,BANumber,SubNum,BusSlack,BusStatus,BusLongName,BusKVVolt,BusRad,BusE,BusF,BusMCMW,BusMWMCEnergy,BusMWMCCongestion,BusMWMCLosses,BusMCMVAR,BusMvarMCCongestion,BusMvarMCLosses,BusMCVolt,OwnerNum,BusEquiv,BusScale,TimeDomainSelected,LSName,BusMonEle,BusVoltLim,BusVoltLimLow,BusVoltLimHigh,LPOPFConstraint,BusLossSensMW,BusLossSensMVR,DCLossMultiplier,PVmonBusVoltage,PVMonBusVoltageKV,PVmonBusAngle,pvMonVQSense,PVmonBusPLoad,PVmonBusQLoad,PVMonBusShunt,qvBusMinVolt,qvBusMaxVolt,qvBusStepSize,CustomString,CustomString:1,CustomString:2,,,,,,,,,,
110001,EDNA 1 1,138,1.032582,-1.950734,0,0,7,1,1,1,NO ,Connected,,,newbus 138,142.4963,-0.034047,1.032,-0.0351,56.371,57.4583,-1.0873,0,0.1025,0.1025,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.055,-0.0016,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Speaks,Lavaca County,Texas
110002,EDNA 1 2,13.8,1.032582,-1.950734,0,0,7,1,1,1,NO ,Connected,,,newbus 138,14.2496,-0.034047,1.032,-0.0351,56.371,57.4583,-1.0873,0,0.1025,0.1025,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.055,-0.0016,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Speaks,Lavaca County,Texas
110003,EDNA 1 3,13.8,1.032582,-1.950734,0,0,7,1,1,1,NO ,Connected,,,newbus 138,14.2496,-0.034047,1.032,-0.0351,56.371,57.4583,-1.0873,0,0.1025,0.1025,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.055,-0.0016,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Speaks,Lavaca County,Texas
110004,EDNA 1 4,1,1.032582,-1.950734,0,0,7,1,1,1,NO ,Connected,,,newbus 138,1.0326,-0.034047,1.032,-0.0351,56.371,57.4583,-1.0873,0,0.1025,0.1025,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.055,-0.0016,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Speaks,Lavaca County,Texas
110005,LANE CITY 1 1,138,1.01887,-11.008804,0,0,7,1,1,2,NO ,Connected,,,newbus 138,140.6041,-0.19214,1.0001,-0.1946,57.0612,57.4583,-0.3971,0,0.0478,0.0478,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0235,-0.0047,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Boling-Iago,Wharton County,Texas
110006,LANE CITY 1 2,13.8,1.01887,-11.008804,0,0,7,1,1,2,NO ,Connected,,,newbus 138,14.0604,-0.19214,1.0001,-0.1946,57.0612,57.4583,-0.3971,0,0.0478,0.0478,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0235,-0.0047,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Boling-Iago,Wharton County,Texas
110007,LANE CITY 1 3,13.8,1.01887,-11.008804,0,0,7,1,1,2,NO ,Connected,,,newbus 138,14.0604,-0.19214,1.0001,-0.1946,57.0612,57.4583,-0.3971,0,0.0478,0.0478,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0235,-0.0047,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Boling-Iago,Wharton County,Texas
110008,LANE CITY 1 4,1,1.01887,-11.008804,0,0,7,1,1,2,NO ,Connected,,,newbus 138,1.0189,-0.19214,1.0001,-0.1946,57.0612,57.4583,-0.3971,0,0.0478,0.0478,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0235,-0.0047,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Boling-Iago,Wharton County,Texas
110009,MATAGORDA 1 1,138,1.023075,-2.565798,0,0,7,1,1,3,NO ,Connected,,,newbus 138,141.1843,-0.044782,1.022,-0.0458,56.7893,57.4583,-0.669,0,0.095,0.095,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0548,-0.0047,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wadsworth,Matagorda County,Texas
110010,MATAGORDA 1 2,13.8,1.023075,-2.565798,0,0,7,1,1,3,NO ,Connected,,,newbus 138,14.1184,-0.044782,1.022,-0.0458,56.7893,57.4583,-0.669,0,0.095,0.095,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0548,-0.0047,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wadsworth,Matagorda County,Texas
110011,MATAGORDA 1 3,13.8,1.023075,-2.565798,0,0,7,1,1,3,NO ,Connected,,,newbus 138,14.1184,-0.044782,1.022,-0.0458,56.7893,57.4583,-0.669,0,0.095,0.095,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0548,-0.0047,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wadsworth,Matagorda County,Texas
110012,MATAGORDA 1 4,1,1.023075,-2.565798,0,0,7,1,1,3,NO ,Connected,,,newbus 138,1.0231,-0.044782,1.022,-0.0458,56.7893,57.4583,-0.669,0,0.095,0.095,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0548,-0.0047,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wadsworth,Matagorda County,Texas
110013,HUNGERFORD 1 1,138,1.006668,-11.859344,0,0,7,1,1,4,NO ,Connected,,,newbus 138,138.9202,-0.206985,0.9852,-0.2069,56.9293,57.4583,-0.529,0,0.0893,0.0893,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0125,-0.0073,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wharton,Wharton County,Texas
110014,HUNGERFORD 1 2,13.8,1.006668,-11.859344,0,0,7,1,1,4,NO ,Connected,,,newbus 138,13.892,-0.206985,0.9852,-0.2069,56.9293,57.4583,-0.529,0,0.0893,0.0893,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0125,-0.0073,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wharton,Wharton County,Texas
110015,HUNGERFORD 1 3,13.8,1.006668,-11.859344,0,0,7,1,1,4,NO ,Connected,,,newbus 138,13.892,-0.206985,0.9852,-0.2069,56.9293,57.4583,-0.529,0,0.0893,0.0893,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0125,-0.0073,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wharton,Wharton County,Texas
110016,HUNGERFORD 1 4,1,1.006668,-11.859344,0,0,7,1,1,4,NO ,Connected,,,newbus 138,1.0067,-0.206985,0.9852,-0.2069,56.9293,57.4583,-0.529,0,0.0893,0.0893,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0125,-0.0073,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wharton,Wharton County,Texas
110017,EAST BERNARD 1 1,138,1.020418,-15.877,0,0,7,1,1,5,NO ,Connected,,,newbus 138,140.8177,-0.277106,0.9815,-0.2792,57.0022,57.4583,-0.4561,0,0.1265,0.1265,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0004,-0.0028,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,East Bernard,Wharton County,Texas
110018,EAST BERNARD 1 2,13.8,1.020418,-15.877,0,0,7,1,1,5,NO ,Connected,,,newbus 138,14.0818,-0.277106,0.9815,-0.2792,57.0022,57.4583,-0.4561,0,0.1265,0.1265,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0004,-0.0028,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,East Bernard,Wharton County,Texas
110019,EAST BERNARD 1 3,13.8,1.020418,-15.877,0,0,7,1,1,5,NO ,Connected,,,newbus 138,14.0818,-0.277106,0.9815,-0.2792,57.0022,57.4583,-0.4561,0,0.1265,0.1265,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0004,-0.0028,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,East Bernard,Wharton County,Texas
110020,EAST BERNARD 1 4,1,1.020418,-15.877,0,0,7,1,1,5,NO ,Connected,,,newbus 138,1.0204,-0.277106,0.9815,-0.2792,57.0022,57.4583,-0.4561,0,0.1265,0.1265,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0004,-0.0028,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,East Bernard,Wharton County,Texas
110021,EL CAMPO 1 1,138,1.019708,-5.478431,0,0,7,1,1,6,NO ,Connected,,,newbus 138,140.7198,-0.095617,1.0151,-0.0974,56.7148,57.4583,-0.7435,0,0.1104,0.1104,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0411,-0.0043,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Hillje,Wharton County,Texas
110022,EL CAMPO 1 2,22,1.019708,-5.478431,0,0,7,1,1,6,NO ,Connected,,,newbus 138,22.4336,-0.095617,1.0151,-0.0974,56.7148,57.4583,-0.7435,0,0.1104,0.1104,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0411,-0.0043,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Hillje,Wharton County,Texas
110023,EL CAMPO 1 3,22,1.019708,-5.478431,0,0,7,1,1,6,NO ,Connected,,,newbus 138,22.4336,-0.095617,1.0151,-0.0974,56.7148,57.4583,-0.7435,0,0.1104,0.1104,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0411,-0.0043,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Hillje,Wharton County,Texas
110024,EL CAMPO 1 4,1,1.019708,-5.478431,0,0,7,1,1,6,NO ,Connected,,,newbus 138,1.0197,-0.095617,1.0151,-0.0974,56.7148,57.4583,-0.7435,0,0.1104,0.1104,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0411,-0.0043,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Hillje,Wharton County,Texas
110025,EL CAMPO 2 1,138,1.021137,-5.545278,0,0,7,1,1,7,NO ,Connected,,,newbus 138,140.9169,-0.096783,1.0164,-0.0987,56.7256,57.4583,-0.7327,0,0.0976,0.0976,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0408,-0.0038,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,El Campo,Wharton County,Texas
110026,EL CAMPO 2 2,13.8,1.021137,-5.545278,0,0,7,1,1,7,NO ,Connected,,,newbus 138,14.0917,-0.096783,1.0164,-0.0987,56.7256,57.4583,-0.7327,0,0.0976,0.0976,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0408,-0.0038,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,El Campo,Wharton County,Texas
110027,EL CAMPO 2 3,13.8,1.021137,-5.545278,0,0,7,1,1,7,NO ,Connected,,,newbus 138,14.0917,-0.096783,1.0164,-0.0987,56.7256,57.4583,-0.7327,0,0.0976,0.0976,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0408,-0.0038,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,El Campo,Wharton County,Texas
110028,EL CAMPO 2 4,1,1.021137,-5.545278,0,0,7,1,1,7,NO ,Connected,,,newbus 138,1.0211,-0.096783,1.0164,-0.0987,56.7256,57.4583,-0.7327,0,0.0976,0.0976,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0408,-0.0038,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,El Campo,Wharton County,Texas
110029,WHARTON 1 1,138,1.025171,-8.235666,0,0,7,1,1,8,NO ,Connected,,,newbus 138,141.4736,-0.143739,1.0146,-0.1469,57.0155,57.4583,-0.4428,0,0.0446,0.0446,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0341,-0.0031,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wharton,Wharton County,Texas
110030,WHARTON 1 2,13.8,1.025171,-8.235666,0,0,7,1,1,8,NO ,Connected,,,newbus 138,14.1474,-0.143739,1.0146,-0.1469,57.0155,57.4583,-0.4428,0,0.0446,0.0446,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0341,-0.0031,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wharton,Wharton County,Texas
110031,WHARTON 1 3,13.8,1.025171,-8.235666,0,0,7,1,1,8,NO ,Connected,,,newbus 138,14.1474,-0.143739,1.0146,-0.1469,57.0155,57.4583,-0.4428,0,0.0446,0.0446,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0341,-0.0031,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wharton,Wharton County,Texas
110032,WHARTON 1 4,1,1.025171,-8.235666,0,0,7,1,1,8,NO ,Connected,,,newbus 138,1.0252,-0.143739,1.0146,-0.1469,57.0155,57.4583,-0.4428,0,0.0446,0.0446,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0341,-0.0031,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Wharton,Wharton County,Texas
110033,CEDAR LANE 1 1,138,1.010825,-10.250077,0,0,7,1,1,9,NO ,Connected,,,newbus 138,139.4938,-0.178898,0.9947,-0.1799,57.0068,57.4583,-0.4515,0,0.0826,0.0826,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0251,-0.0075,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Sargent,Matagorda County,Texas
110034,CEDAR LANE 1 2,13.8,1.010825,-10.250077,0,0,7,1,1,9,NO ,Connected,,,newbus 138,13.9494,-0.178898,0.9947,-0.1799,57.0068,57.4583,-0.4515,0,0.0826,0.0826,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0251,-0.0075,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Sargent,Matagorda County,Texas
110035,CEDAR LANE 1 3,13.8,1.010825,-10.250077,0,0,7,1,1,9,NO ,Connected,,,newbus 138,13.9494,-0.178898,0.9947,-0.1799,57.0068,57.4583,-0.4515,0,0.0826,0.0826,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0251,-0.0075,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Sargent,Matagorda County,Texas
110036,CEDAR LANE 1 4,1,1.010825,-10.250077,0,0,7,1,1,9,NO ,Connected,,,newbus 138,1.0108,-0.178898,0.9947,-0.1799,57.0068,57.4583,-0.4515,0,0.0826,0.0826,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0251,-0.0075,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Sargent,Matagorda County,Texas
110037,NADA 1 1,138,1.024315,-5.629289,0,0,7,1,1,10,NO ,Connected,,,newbus 138,141.3554,-0.09825,1.0194,-0.1005,56.4311,57.4583,-1.0272,0,0.1793,0.1793,0,0,,1,Study,NO ,NO ,Default,YES,NO ,0.9,1.1,   ,No,0.0384,-0.0021,1,,,,,,NO ,NO ,NO ,NO ,NO ,NO ,NO ,0.8,1.1,0.01,,Garwood,Colorado County,Texas
