SubNum,SubName,SubID,Latitude,Longitude,LatitudeString,LongitudeString
1,EDNA 1,1,29.198,-96.6616, 29:11:52.800 N, 96:39:41.760 W
2,LANE CITY 1,2,29.2786,-95.9966, 29:16:42.960 N, 95:59:47.760 W
3,MATAGORDA 1,3,28.7913,-95.95, 28:47:28.680 N, 95:57:00.000 W
4,HUNGERFORD 1,4,29.3807,-96.1052, 29:22:50.520 N, 96:06:18.720 W
5,EAST BERNARD 1,5,29.5208,-96.0832, 29:31:14.880 N, 96:04:59.520 W
6,EL CAMPO 1,6,29.1414,-96.3216, 29:08:29.040 N, 96:19:17.760 W
7,EL CAMPO 2,7,29.2599,-96.2944, 29:15:35.640 N, 96:17:39.840 W
8,WHARTON 1,8,29.2996,-96.1336, 29:17:58.560 N, 96:08:00.960 W
9,CEDAR LANE 1,9,28.8052,-95.6462, 28:48:18.720 N, 95:38:46.320 W
10,NADA 1,10,29.437,-96.4084, 29:26:13.200 N, 96:24:30.240 W
11,EGYPT 1,11,29.449,-96.296, 29:26:56.400 N, 96:17:45.600 W
12,LOUISE 1,12,29.2453,-96.4161, 29:14:43.080 N, 96:24:57.960 W
13,GANADO 1,13,29.0384,-96.493, 29:02:18.240 N, 96:29:34.800 W
14,LOUISE 2,14,29.1308,-96.455, 29:07:50.880 N, 96:27:18.000 W
15,LOUISE 3,15,29.0306,-96.3557, 29:01:50.160 N, 96:21:20.520 W
16,NADA 2,16,29.3383,-96.315, 29:20:17.880 N, 96:18:54.000 W
17,KENDLETON 1,17,29.3429,-95.9799, 29:20:34.440 N, 95:58:47.640 W
18,PLEDGER 1,18,29.1101,-95.9264, 29:06:36.360 N, 95:55:35.040 W
19,DANEVANG 1,19,29.145,-96.1938, 29:08:42.000 N, 96:11:37.680 W
20,DANEVANG 2,20,29.0511,-96.1936, 29:03:03.960 N, 96:11:36.960 W
21,ELMATON 1,21,28.9073,-96.1453, 28:54:26.280 N, 96:08:43.080 W
22,BAY CITY 1,22,28.9922,-95.8483, 28:59:31.920 N, 95:50:53.880 W
23,PALACIOS 1,23,28.7692,-96.2525, 28:46:09.120 N, 96:15:09.000 W
24,MIDFIELD 1,24,28.931,-96.2976, 28:55:51.600 N, 96:17:51.360 W
25,ELMATON 2,25,28.8694,-96.1149, 28:52:09.840 N, 96:06:53.640 W
26,PALACIOS 2,26,28.7222,-96.1372, 28:43:19.920 N, 96:08:13.920 W
27,MATAGORDA 2,27,28.6712,-95.9678, 28:40:16.320 N, 95:58:04.080 W
28,SWEENY 1,28,29.0912,-95.815, 29:05:28.320 N, 95:48:54.000 W
29,EDNA 2,29,29.1481,-96.6273, 29:08:53.160 N, 96:37:38.280 W
30,MARKHAM 1,30,29.029,-96.0895, 29:01:44.400 N, 96:05:22.200 W
31,ALTAIR 1,31,29.4893,-96.3969, 29:29:21.480 N, 96:23:48.840 W
32,CEDAR LANE 2,32,28.9498,-95.7616, 28:56:59.280 N, 95:45:41.760 W
33,BAY CITY 2,33,28.9155,-95.9502, 28:54:55.800 N, 95:57:00.720 W
34,WADSWORTH 1,34,28.8077,-95.8324, 28:48:27.720 N, 95:49:56.640 W
35,LA WARD 1,35,28.9,-96.4378, 28:53:60.000 N, 96:26:16.080 W
36,HUNGERFORD 2,36,29.4375,-96.1569, 29:26:15.000 N, 96:09:24.840 W
37,GARWOOD 1,37,29.4023,-96.4856, 29:24:08.280 N, 96:29:08.160 W
38,LANE CITY 2,38,29.1976,-96.0197, 29:11:51.360 N, 96:01:10.920 W
39,BAY CITY 3,39,28.9119,-95.9883, 28:54:42.840 N, 95:59:17.880 W
40,EL CAMPO 3,40,29.1978,-96.2768, 29:11:52.080 N, 96:16:36.480 W
41,BROOKSHIRE 1,41,29.787,-95.928, 29:47:13.200 N, 95:55:40.800 W
42,EAGLE LAKE 1,42,29.5876,-96.3318, 29:35:15.360 N, 96:19:54.480 W
43,SEALY 1,43,29.7747,-96.1596, 29:46:28.920 N, 96:09:34.560 W
44,WHARTON 2,44,29.3173,-96.0917, 29:19:02.280 N, 96:05:30.120 W
45,GANADO 2,45,29.0388,-96.5128, 29:02:19.680 N, 96:30:46.080 W
46,EL CAMPO 4,46,29.1914,-96.2944, 29:11:29.040 N, 96:17:39.840 W
47,MARKHAM 2,47,28.9816,-95.9635, 28:58:53.760 N, 95:57:48.600 W
48,PALACIOS 3,48,28.7094,-96.2184, 28:42:33.840 N, 96:13:06.240 W
49,PATTISON 1,49,29.7783,-95.9684, 29:46:41.880 N, 95:58:06.240 W
50,BAY CITY 4,50,28.9708,-95.9589, 28:58:14.880 N, 95:57:32.040 W
51,EDNA 3,51,29.1419,-96.6782, 29:08:30.840 N, 96:40:41.520 W
52,BROOKSHIRE 2,52,29.8888,-95.9792, 29:53:19.680 N, 95:58:45.120 W
53,SAN FELIPE 1,53,29.7787,-96.1026, 29:46:43.320 N, 96:06:09.360 W
54,BROOKSHIRE 3,54,29.8062,-95.9065, 29:48:22.320 N, 95:54:23.400 W
55,SEALY 2,55,29.7056,-96.1545, 29:42:20.160 N, 96:09:16.200 W
56,SAN FELIPE 2,56,29.8191,-96.0787, 29:49:08.760 N, 96:04:43.320 W
57,PRAIRIE VIEW 1,57,30.0043,-96.008, 30:00:15.480 N, 96:00:28.800 W
58,LISSIE 1,58,29.6016,-96.1754, 29:36:05.760 N, 96:10:31.440 W
59,BROOKSHIRE 4,59,29.8518,-95.8853, 29:51:06.480 N, 95:53:07.080 W
60,BROOKSHIRE 5,60,29.9359,-96.003, 29:56:09.240 N, 96:00:10.800 W
61,BROOKSHIRE 6,61,29.8338,-96.0009, 29:50:01.680 N, 96:00:03.240 W
62,HOCKLEY 1,62,30.1601,-95.8343, 30:09:36.360 N, 95:50:03.480 W
63,EAGLE LAKE 2,63,29.5695,-96.3166, 29:34:10.200 N, 96:18:59.760 W
64,BROOKSHIRE 7,64,29.9155,-96.0561, 29:54:55.800 N, 96:03:21.960 W
65,HOCKLEY 2,65,30.1228,-95.816, 30:07:22.080 N, 95:48:57.600 W
66,WALLER 1,66,30.0384,-95.9381, 30:02:18.240 N, 95:56:17.160 W
67,WALLER 2,67,29.9893,-95.9296, 29:59:21.480 N, 95:55:46.560 W
68,PATTISON 2,68,29.7444,-96.0428, 29:44:39.840 N, 96:02:34.080 W
69,WALLIS 1,69,29.6168,-96.0683, 29:37:00.480 N, 96:04:05.880 W
70,KATY 1,70,29.7928,-95.8293, 29:47:34.080 N, 95:49:45.480 W
71,SEALY 3,71,29.7843,-96.144, 29:47:03.480 N, 96:08:38.400 W
72,SEALY 4,72,29.7629,-96.2186, 29:45:46.440 N, 96:13:06.960 W
73,GALENA PARK 1,73,29.8442,-95.2724, 29:50:39.120 N, 95:16:20.640 W
74,HUMBLE 1,74,29.9075,-95.3677, 29:54:27.000 N, 95:22:03.720 W
75,HUMBLE 2,75,29.9407,-95.2604, 29:56:26.520 N, 95:15:37.440 W
76,HUMBLE 3,76,29.8873,-95.2812, 29:53:14.280 N, 95:16:52.320 W
77,HOUSTON 1,77,29.8642,-95.3097, 29:51:51.120 N, 95:18:34.920 W
78,HUMBLE 4,78,29.8915,-95.3343, 29:53:29.400 N, 95:20:03.480 W
79,HUMBLE 5,79,29.9289,-95.2827, 29:55:44.040 N, 95:16:57.720 W
80,HUMBLE 6,80,29.9162,-95.3585, 29:54:58.320 N, 95:21:30.600 W
81,HOUSTON 2,81,29.8543,-95.3327, 29:51:15.480 N, 95:19:57.720 W
82,HUMBLE 7,82,29.9389,-95.3024, 29:56:20.040 N, 95:18:08.640 W
83,HUMBLE 8,83,29.8931,-95.314, 29:53:35.160 N, 95:18:50.400 W
84,HOUSTON 3,84,29.8228,-95.2937, 29:49:22.080 N, 95:17:37.320 W
85,KATY 2,85,29.8668,-95.5796, 29:52:00.480 N, 95:34:46.560 W
