ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
48,Texas,TX,48001,Anderson,48001,"Anderson County, Texas",1062.616344,57917,0,20639,349,16555,567,11255,1351,674,249,4527,647,7409,515,6462,765,8381,67,11105,73,6767,685,1281,323,1049,273,24275,560,599,209,4998,488,718,274,827,259,13528,915,25.3,3,3.4,1.2,27.3,3.8,17.5,1.2,14.5,1.7,14.5,0.1,19.2,0.1,15.2,1.5,7.7,1.9,1.9,0.5,41.9,1,2.9,1,24.2,2.4,4.3,1.6,5,1.6,23.4,1.6,0.4625,0.2134,0.8972,0.5494,0.2569,2.3794,0.4466,0.2885,0.0791,0.4229,0.664,0.2609,1.7154,0.0711,0.5099,0.5099,0.5099,0.6285,0.8696,0.6166,0.4941,0.9723,3.5811,0.9486,8.1858,0.5731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,54646,9954,1805,11919,327,10360,0,350,108,103,60,9,16,1501,437,33,33,22.4,0.5,20.6,0.6,17.9,0,0.6,0.2,0.2,0.1,0,0.1,2.6,0.8,0.1,0.1
48,Texas,TX,48003,Andrews,48003,"Andrews County, Texas",1500.720659,18227,0,6347,36,5649,215,3796,801,362,181,1111,271,2549,397,3654,669,1793,53,5592,128,2020,472,383,179,1099,275,11010,224,128,72,1324,218,184,85,177,109,87,93,21,4.4,3.9,2,19.7,4.7,23.3,3.6,20.1,3.7,9.8,0.3,30.7,0.7,11.1,2.6,6.8,3.2,6.6,1.7,60.4,1.2,2,1.1,20.9,3.4,3.3,1.5,3.1,1.9,0.5,0.5,0.2767,0.2806,0.4032,0.7984,0.747,2.5059,0.5059,0.0158,0.9328,0.1502,0.5375,0.8063,2.4426,0.5178,0.7747,0.7747,0.7747,0.5059,0.8103,0.4071,0.2213,0.083,2.0276,0.2451,7.7508,0.4743,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17900,1258,437,418,151,10364,0,57,71,0,22,26,47,145,140,0,0,6.9,0,2.3,0.8,56.9,0,0.3,0.4,0,0.2,0.1,0.3,0.8,0.8,0,0.2
48,Texas,TX,48005,Angelina,48005,"Angelina County, Texas",797.8646524,87119,0,37087,151,31368,497,26699,1839,2622,422,7718,695,9741,830,15820,1353,14084,66,22197,122,15973,996,2953,457,2804,496,34662,329,1843,358,7447,650,1440,300,1755,326,2896,386,31.6,2.2,6.7,1.1,24.6,2.2,17,1.5,18.6,1.6,16.2,0.1,25.5,0.1,18.8,1.2,9.4,1.4,3.4,0.6,39.8,0.4,5,1,20.1,1.8,4.6,1,5.6,1,3.3,0.4,0.7905,0.7747,0.7866,0.5059,0.6403,3.498,0.8538,0.4308,0.6522,0.7628,0.8458,0.5217,3.2133,0.8814,0.4664,0.4664,0.4664,0.7747,0.7787,0.6957,0.5929,0.6957,3.5377,0.9368,10.7154,0.9091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89203,8783,1221,13138,194,19418,0,946,55,52,54,5,9,960,215,143,143,10.4,0,15.1,0.2,22.3,0,1.1,0.1,0.1,0.1,0,0.1,1.1,0.2,0.2,0.2
48,Texas,TX,48007,Aransas,48007,"Aransas County, Texas",252.0693085,24220,0,16249,76,9917,582,7376,1011,958,313,2421,418,2296,498,4229,686,6559,104,4866,266,4190,628,534,241,440,289,8005,389,921,264,2806,461,497,214,578,213,388,169,31,4.2,9.3,3,24.4,4,12.9,2.6,17.7,2.9,27.1,0.4,20.1,1.1,17.6,2.6,5.4,2.4,1.9,1.3,33.1,1.6,5.7,1.6,17.3,2.8,5,2.1,5.8,2.1,1.6,0.7,0.7589,0.9368,0.7668,0.2609,0.5771,3.3005,0.8024,0.9249,0.1383,0.6561,0.3281,0.2609,2.3083,0.4269,0.3399,0.3399,0.3399,0.8142,0.6877,0.7352,0.6324,0.4941,3.3636,0.917,9.3123,0.7549,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,19345,2261,579,57,53,6779,0,275,272,25,29,0,26,869,270,0,0,9.5,0.1,0.2,0.2,28,0,1.1,1.1,0.1,0.1,0,0.2,3.6,1.1,0,0.2
48,Texas,TX,48009,Archer,48009,"Archer County, Texas",903.2887815,8754,0,4176,27,3513,120,1673,295,166,79,740,160,589,91,1317,225,1775,38,1912,6,1383,166,171,59,89,78,1033,99,9,23,425,95,51,36,117,49,63,43,19.2,3.4,3.7,1.8,21.1,4.5,9.5,1.5,15.1,2.6,20.3,0.4,21.8,0.1,15.9,1.9,4.9,1.7,1.1,0.9,11.8,1.1,0.2,0.6,10.2,2.3,1.5,1,3.3,1.4,0.7,0.5,0.17,0.253,0.5494,0.0909,0.3202,1.3835,0.1225,0.6798,0.2767,0.4901,0.2767,0.1146,1.8379,0.1186,0.0119,0.0119,0.0119,0.1067,0.3162,0.0988,0.2451,0.1462,0.913,0.0158,4.1463,0.0277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6668,1478,272,92,60,719,0,15,22,65,40,0,20,140,61,2,2,17,0.1,1.1,0.7,8.2,0,0.2,0.3,0.7,0.5,0,0.5,1.6,0.7,0,0.1
48,Texas,TX,48011,Armstrong,48011,"Armstrong County, Texas",909.1225588,1950,144,913,49,720,65,240,86,5,8,88,42,119,47,132,50,408,73,456,48,174,65,37,25,8,55,224,55,5,15,110,38,10,19,47,45,58,87,12.8,4.5,0.5,0.8,12.2,5.7,8.9,3.1,7,2.5,20.9,3,23.4,1.8,9.2,3.3,5.1,3.4,0.4,3,11.5,2.7,0.5,1.6,12,4.3,1.4,2.6,6.5,6.3,3,4.5,0.0277,0.0316,0.0593,0.0632,0.0119,0.1937,0.004,0.7233,0.4387,0.0514,0.3043,0.0435,1.5612,0.0316,0.0079,0.0079,0.0079,0.1818,0.4111,0.087,0.7589,0.6601,2.0989,0.2727,3.8617,0.0119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1264,262,206,14,16,165,39,0,14,15,20,0,14,30,18,0,0,13.8,0.9,0.7,0.8,8.5,2,0,2.3,0.8,1,0,2.3,1.5,0.9,0,2.3
48,Texas,TX,48013,Atascosa,48013,"Atascosa County, Texas",1219.540471,50194,0,18638,55,15798,403,10581,1239,1546,336,2543,400,6755,644,9299,1146,7413,92,13588,113,5571,526,1121,301,2545,590,33717,142,134,83,6131,562,1579,399,831,262,390,138,21.4,2.5,7.2,1.5,16.1,2.5,21,2,18.7,2.3,14.8,0.2,27.1,0.2,11.2,1.1,7.1,1.9,5.5,1.3,67.2,0.3,0.7,0.4,32.9,3,10,2.5,5.3,1.6,0.8,0.3,0.2964,0.8142,0.1818,0.7233,0.664,2.6797,0.6008,0.3162,0.7945,0.1581,0.5929,0.7431,2.6048,0.6443,0.8379,0.8379,0.8379,0.2213,0.9802,0.9565,0.5415,0.1818,2.8813,0.7036,9.0037,0.7075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,44799,6212,1201,517,27,32491,0,252,33,18,25,0,33,439,125,0,0,12.5,0,1,0.1,64.7,0,0.5,0.1,0,0.1,0,0.1,0.9,0.2,0,0.1
48,Texas,TX,48015,Austin,48015,"Austin County, Texas",646.4953201,29892,0,13335,89,11569,310,6582,983,841,236,2535,421,2533,366,4314,744,5820,131,7134,60,4452,626,780,242,1186,305,11471,318,227,136,2524,295,486,191,482,176,273,78,22.2,3.3,5.6,1.5,21.9,3.6,12.4,1.8,14.6,2.5,19.5,0.4,23.9,0.2,15,2.1,6.7,2.1,4.2,1.1,38.4,1.1,1.7,1,18.9,2.2,4.2,1.6,4.2,1.5,0.9,0.3,0.3399,0.6087,0.5968,0.2332,0.2727,2.0513,0.3241,0.6403,0.5178,0.3913,0.5099,0.6166,2.6759,0.6798,0.4308,0.4308,0.4308,0.4585,0.7431,0.6008,0.3874,0.2134,2.4032,0.4506,7.5612,0.4545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29855,4982,710,2543,196,8139,0,165,95,27,36,0,26,506,220,91,91,16.8,0.1,8.5,0.7,27.2,0,0.6,0.3,0.1,0.1,0,0.2,1.7,0.7,0.3,0.2
48,Texas,TX,48017,Bailey,48017,"Bailey County, Texas",826.9714826,6916,1564,2677,2030,2056,2040,1228,722,93,122,375,552,900,761,2164,1045,928,584,1967,381,752,742,153,348,578,654,4714,589,44,132,277,222,78,179,213,393,225,69,18.5,10,3,3.9,18.2,19.9,22.1,16.3,32.3,15.4,13.4,5.6,28.4,8.5,11.2,9.6,7.4,15.3,9,10,68.2,17.6,1.6,4.8,10.3,8.3,3.8,7.8,10.4,30.1,3.3,0.7,0.1502,0.1542,0.2964,0.7747,0.9921,2.3676,0.4229,0.2055,0.8538,0.1581,0.6364,0.8814,2.7352,0.7233,0.8498,0.8498,0.8498,0.4269,0.3281,0.5336,0.9763,0.6957,2.9606,0.7628,8.9132,0.6957,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,6844,1131,2479,20,23,4548,527,47,97,69,222,0,20,30,100,0,0,16.9,4,0.3,0.3,65.8,10,0.7,1.3,1,2.9,0,0.6,0.4,1.2,0,0.6
48,Texas,TX,48019,Bandera,48019,"Bandera County, Texas",790.9932241,22770,0,12003,96,8697,327,5038,731,726,258,1528,309,1794,459,3864,719,6196,40,3805,95,4641,576,333,122,480,241,5332,224,24,37,3206,377,384,160,93,60,477,243,22.6,3.3,7.1,2.5,17.6,3.5,10.3,2.6,17.1,3.2,27.2,0.2,16.7,0.4,20.5,2.5,3.8,1.4,2.2,1.1,23.4,1,0.2,0.3,26.7,3.1,4.4,1.8,1.1,0.7,2.1,1.1,0.3518,0.7984,0.2569,0.1067,0.502,2.0158,0.3123,0.9289,0.0237,0.8617,0.1383,0.3241,2.2767,0.3834,0.1502,0.1502,0.1502,0.1067,0.9289,0.6561,0.0316,0.585,2.3083,0.3874,6.751,0.2688,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,16916,2860,721,170,82,4391,0,77,50,115,83,0,26,531,167,48,48,12.8,0.1,0.7,0.4,19.3,0,0.3,0.2,0.5,0.4,0,0.2,2.3,0.7,0.2,0.3
