FIPS,CNTY_NM,census_2020_count,july1_2021_pop_est,jan1_2022_pop_est,num_chg_20_21,num_chg_20_22,pct_chg_20_21,pct_chg_20_22
1,Anderson,57922,57946,57954,24,32,0,0.1
3,Andrews,18610,18656,18675,46,65,0.2,0.3
5,Angelina,86395,86501,86554,106,159,0.1,0.2
7,Aransas,23830,24394,24693,564,863,2.4,3.6
9,Archer,8560,8534,8517,-26,-43,-0.3,-0.5
11,Armstrong,1848,1830,1823,-18,-25,-1,-1.4
13,Atascosa,48981,49432,49657,451,676,0.9,1.4
15,Austin,30167,30376,30485,209,318,0.7,1.1
17,Bailey,6904,6814,6767,-90,-137,-1.3,-2
19,Bandera,20851,21560,21937,709,1086,3.4,5.2
21,Bastrop,97216,101788,104146,4572,6930,4.7,7.1
23,Baylor,3465,3476,3475,11,10,0.3,0.3
25,Bee,31047,30763,30613,-284,-434,-0.9,-1.4
27,Bell,370647,375771,378140,5124,7493,1.4,2
29,Bexar,2009324,2037303,2050463,27979,41139,1.4,2
31,Blanco,11374,11912,12171,538,797,4.7,7
33,Borden,631,627,624,-4,-7,-0.6,-1.1
35,Bosque,18235,18277,18315,42,80,0.2,0.4
37,Bowie,92893,91575,91083,-1318,-1810,-1.4,-1.9
39,Brazoria,372031,378837,382691,6806,10660,1.8,2.9
41,Brazos,233849,236812,238164,2963,4315,1.3,1.8
43,Brewster,9546,9487,9457,-59,-89,-0.6,-0.9
45,Briscoe,1435,1410,1400,-25,-35,-1.7,-2.4
47,Brooks,7076,6958,6910,-118,-166,-1.7,-2.3
49,Brown,38095,38184,38352,89,257,0.2,0.7
51,Burleson,17642,17846,17948,204,306,1.2,1.7
53,Burnet,49130,50600,51285,1470,2155,3,4.4
55,Caldwell,45883,46925,47434,1042,1551,2.3,3.4
57,Calhoun,20106,19963,19827,-143,-279,-0.7,-1.4
59,Callahan,13708,14153,14385,445,677,3.2,4.9
61,Cameron,421017,421175,421254,158,237,0,0.1
63,Camp,12464,12513,12533,49,69,0.4,0.6
65,Carson,5807,5731,5701,-76,-106,-1.3,-1.8
67,Cass,28454,28621,28712,167,258,0.6,0.9
69,Castro,7371,7258,7202,-113,-169,-1.5,-2.3
71,Chambers,46571,49276,50709,2705,4138,5.8,8.9
73,Cherokee,50412,51228,51479,816,1067,1.6,2.1
75,Childress,6664,6725,6729,61,65,0.9,1
77,Clay,10218,10175,10153,-43,-65,-0.4,-0.6
79,Cochran,2547,2549,2549,2,2,0.1,0.1
81,Coke,3285,3302,3310,17,25,0.5,0.8
83,Coleman,7684,7690,7687,6,3,0.1,0
85,Collin,1064465,1101989,1121133,37524,56668,3.5,5.3
87,Collingsworth,2652,2614,2602,-38,-50,-1.4,-1.9
89,Colorado,20557,20601,20639,44,82,0.2,0.4
91,Comal,161501,175304,182669,13803,21168,8.5,13.1
93,Comanche,13594,13748,13838,154,244,1.1,1.8
95,Concho,3303,3319,3326,16,23,0.5,0.7
97,Cooke,41668,42008,42164,340,496,0.8,1.2
99,Coryell,83093,84361,85007,1268,1914,1.5,2.3
101,Cottle,1380,1378,1381,-2,1,-0.1,0.1
103,Crane,4675,4675,4679,0,4,0,0.1
105,Crockett,3098,3066,3060,-32,-38,-1,-1.2
107,Crosby,5133,5051,5016,-82,-117,-1.6,-2.3
109,Culberson,2188,2191,2194,3,6,0.1,0.3
111,Dallam,7115,7161,7183,46,68,0.6,1
113,Dallas,2613539,2588089,2574549,-25450,-38990,-1,-1.5
115,Dawson,12456,12438,12438,-18,-18,-0.1,-0.1
117,Deaf Smith,18583,18408,18315,-175,-268,-0.9,-1.4
119,Delta,5230,5303,5345,73,115,1.4,2.2
121,Denton,906422,940010,957367,33588,50945,3.7,5.6
123,De Witt,19824,19868,19875,44,51,0.2,0.3
125,Dickens,1770,1737,1726,-33,-44,-1.9,-2.5
127,Dimmit,8615,8602,8557,-13,-58,-0.2,-0.7
129,Donley,3258,3312,3287,54,29,1.7,0.9
131,Duval,9831,9628,9385,-203,-446,-2.1,-4.5
133,Eastland,17725,17806,17843,81,118,0.5,0.7
135,Ector,165171,161096,159230,-4075,-5941,-2.5,-3.6
137,Edwards,1422,1414,1411,-8,-11,-0.6,-0.8
139,Ellis,192455,203268,208861,10813,16406,5.6,8.5
141,El Paso,865657,871454,874347,5797,8690,0.7,1
143,Erath,42545,43355,43749,810,1204,1.9,2.8
145,Falls,16968,16682,16612,-286,-356,-1.7,-2.1
147,Fannin,35662,36385,36670,723,1008,2,2.8
149,Fayette,24435,24498,24529,63,94,0.3,0.4
151,Fisher,3672,3710,3728,38,56,1,1.5
153,Floyd,5402,5311,5273,-91,-129,-1.7,-2.4
155,Foard,1095,1078,1073,-17,-22,-1.6,-2
157,Fort Bend,822779,857882,875921,35103,53142,4.3,6.5
159,Franklin,10359,10436,10477,77,118,0.7,1.1
161,Freestone,19435,19718,19853,283,418,1.5,2.2
163,Frio,18385,18466,19030,81,645,0.4,3.5
165,Gaines,21598,21877,22010,279,412,1.3,1.9
167,Galveston,350682,352778,353670,2096,2988,0.6,0.9
169,Garza,5816,5777,5775,-39,-41,-0.7,-0.7
171,Gillespie,26725,27096,27284,371,559,1.4,2.1
173,Glasscock,1116,1120,1120,4,4,0.4,0.4
175,Goliad,7012,7138,7204,126,192,1.8,2.7
177,Gonzales,19653,19513,19446,-140,-207,-0.7,-1.1
179,Gray,21227,20901,20688,-326,-539,-1.5,-2.5
181,Grayson,135543,139187,141115,3644,5572,2.7,4.1
183,Gregg,124239,122944,122246,-1295,-1993,-1,-1.6
185,Grimes,29268,29958,30439,690,1171,2.4,4
187,Guadalupe,172706,175902,177449,3196,4743,1.9,2.7
189,Hale,32522,32094,31877,-428,-645,-1.3,-2
191,Hall,2825,2821,2824,-4,-1,-0.1,0
193,Hamilton,8222,8097,8043,-125,-179,-1.5,-2.2
195,Hansford,5285,5189,5140,-96,-145,-1.8,-2.7
197,Hardeman,3549,3496,3477,-53,-72,-1.5,-2
199,Hardin,56231,56813,57061,582,830,1,1.5
201,Harris,4731145,4752034,4759954,20889,28809,0.4,0.6
203,Harrison,68839,69306,69219,467,380,0.7,0.6
205,Hartley,5382,5356,5331,-26,-51,-0.5,-0.9
207,Haskell,5416,5390,5369,-26,-47,-0.5,-0.9
209,Hays,241067,256223,264252,15156,23185,6.3,9.6
211,Hemphill,3382,3263,3203,-119,-179,-3.5,-5.3
213,Henderson,82150,83764,84692,1614,2542,2,3.1
215,Hidalgo,870781,879597,884299,8816,13518,1,1.6
217,Hill,35874,36439,36722,565,848,1.6,2.4
219,Hockley,21537,21218,21116,-319,-421,-1.5,-2
221,Hood,61598,63307,64228,1709,2630,2.8,4.3
223,Hopkins,36787,37166,37368,379,581,1,1.6
225,Houston,22066,22106,22262,40,196,0.2,0.9
227,Howard,34860,34570,34340,-290,-520,-0.8,-1.5
229,Hudspeth,3202,3216,3220,14,18,0.4,0.6
231,Hunt,99956,102540,103845,2584,3889,2.6,3.9
233,Hutchinson,20617,20377,20174,-240,-443,-1.2,-2.1
235,Irion,1513,1567,1596,54,83,3.6,5.5
237,Jack,8472,8697,8905,225,433,2.7,5.1
239,Jackson,14988,15084,15150,96,162,0.6,1.1
241,Jasper,32980,32731,32747,-249,-233,-0.8,-0.7
243,Jeff Davis,1996,1980,1972,-16,-24,-0.8,-1.2
245,Jefferson,256526,253333,251890,-3193,-4636,-1.2,-1.8
247,Jim Hogg,4838,4815,4815,-23,-23,-0.5,-0.5
249,Jim Wells,38891,37999,37520,-892,-1371,-2.3,-3.5
251,Johnson,179927,187373,191361,7446,11434,4.1,6.4
253,Jones,19663,19759,19826,96,163,0.5,0.8
255,Karnes,14710,14593,14559,-117,-151,-0.8,-1
257,Kaufman,145310,157028,163214,11718,17904,8.1,12.3
259,Kendall,44279,46586,47777,2307,3498,5.2,7.9
261,Kenedy,350,330,321,-20,-29,-5.7,-8.3
263,Kent,753,748,747,-5,-6,-0.7,-0.8
265,Kerr,52598,53440,53894,842,1296,1.6,2.5
267,Kimble,4286,4255,4234,-31,-52,-0.7,-1.2
269,King,265,259,256,-6,-9,-2.3,-3.4
271,Kinney,3129,3102,3087,-27,-42,-0.9,-1.3
273,Kleberg,31040,30903,30792,-137,-248,-0.4,-0.8
275,Knox,3353,3354,3359,1,6,0,0.2
277,Lamar,50088,49928,49788,-160,-300,-0.3,-0.6
279,Lamb,13045,12837,12747,-208,-298,-1.6,-2.3
281,Lampasas,21627,22278,22603,651,976,3,4.5
283,La Salle,6664,6670,6646,6,-18,0.1,-0.3
285,Lavaca,20337,20730,20952,393,615,1.9,3
287,Lee,17478,17520,17629,42,151,0.2,0.9
289,Leon,15719,15718,15707,-1,-12,0,-0.1
291,Liberty,91628,97551,100883,5923,9255,6.5,10.1
293,Limestone,22146,22285,22148,139,2,0.6,0
295,Lipscomb,3059,2905,2836,-154,-223,-5,-7.3
297,Live Oak,11335,11193,11115,-142,-220,-1.3,-1.9
299,Llano,21243,21702,21952,459,709,2.2,3.3
301,Loving,64,58,58,-6,-6,-9.4,-9.4
303,Lubbock,310639,315820,318368,5181,7729,1.7,2.5
305,Lynn,5596,5615,5630,19,34,0.3,0.6
307,McCulloch,7630,7517,7446,-113,-184,-1.5,-2.4
309,McLennan,260579,261155,261318,576,739,0.2,0.3
311,McMullen,600,599,597,-1,-3,-0.2,-0.5
313,Madison,13455,13462,13591,7,136,0.1,1
315,Marion,9725,9701,9685,-24,-40,-0.2,-0.4
317,Martin,5237,5267,5281,30,44,0.6,0.8
319,Mason,3953,3909,3881,-44,-72,-1.1,-1.8
321,Matagorda,36255,36433,36540,178,285,0.5,0.8
323,Maverick,57887,57524,57355,-363,-532,-0.6,-0.9
325,Medina,50748,51359,51529,611,781,1.2,1.5
327,Menard,1962,1981,1990,19,28,1,1.4
329,Midland,169983,168851,168242,-1132,-1741,-0.7,-1
331,Milam,24754,24995,25107,241,353,1,1.4
333,Mills,4456,4452,4452,-4,-4,-0.1,-0.1
335,Mitchell,8990,8986,8986,-4,-4,0,0
337,Montague,19965,20072,20130,107,165,0.5,0.8
339,Montgomery,620443,651143,667076,30700,46633,4.9,7.5
341,Moore,21358,21094,20970,-264,-388,-1.2,-1.8
343,Morris,11973,12037,12059,64,86,0.5,0.7
345,Motley,1063,1053,1048,-10,-15,-0.9,-1.4
347,Nacogdoches,64653,64426,64309,-227,-344,-0.4,-0.5
349,Navarro,52624,53455,53839,831,1215,1.6,2.3
351,Newton,12217,12316,12367,99,150,0.8,1.2
353,Nolan,14738,14528,14417,-210,-321,-1.4,-2.2
355,Nueces,353178,351484,350472,-1694,-2706,-0.5,-0.8
357,Ochiltree,10015,9840,9758,-175,-257,-1.7,-2.6
359,Oldham,1758,1745,1738,-13,-20,-0.7,-1.1
361,Orange,84808,84346,84111,-462,-697,-0.5,-0.8
363,Palo Pinto,28409,28467,28498,58,89,0.2,0.3
