GEO LEVEL,GEO COMPARISON,Year,GEO UNIT,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
County,state,2016,county,48,Texas,TX,48001,Anderson County,48001,57772,0,20134,196,16572,472,7561,1148,889,246,18087,982,8296,516,7919,100,11191,22,5494,1.1,1493,241,23092,5,,,669,173,4205,388,752,213,960,207,13368,516,17.1,2.6,4.3,1.2,18087,982,19.8,1.2,13.7,0.2,19.4,0,12.4,9,1.4,40,0,2.4,0.5,3.3,0.9,20.9,1.9,4.5,1.3,5.8,1.2,23.1,0.9,0.5534,0.1937,0.5534,2.2095,0.6008,0.2885,0.083,0.2016,0.5375,1.1107,0.0514,0.5138,0.2846,0.7984,0.4032,0.6877,0.7708,0.6798,0.6126,0.9684,3.7194,0.9802,7.8379,0.585,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,6988,672,15.7,1.5,56026
County,state,2016,county,48,Texas,TX,48003,Andrews County,48003,17215,0,6065,36,5392,196,1821,697,432,185,29240,2893,2669,277,1748,82,5309,50,1809,1.5,355,121,9965,20,,,277,128,1289,171,428,165,149,73,97,41,10.7,4.1,5.2,2.2,29240,2893,26.2,2.7,10.2,0.5,30.8,0.3,10.6,6.6,2.2,57.9,0.1,8,2.2,4.6,2.1,21.3,2.8,7.9,3,2.8,1.4,0.6,0.2,0.1344,0.3439,0.8142,1.4111,0.2727,0.0672,0.9447,0.1107,0.2134,1.336,0.0909,0.7708,0.8142,1.585,0.8182,0.7787,0.7905,0.9209,0.1107,0.0791,2.6798,0.5692,7.0119,0.415,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,,2673,587,15.6,3.4,17313
County,state,2016,county,48,Texas,TX,48005,Angelina County,48005,87657,0,36226,169,30495,553,16688,1678,3205,486,21486,1135,11408,629,13207,44,22915,25,17179,1.2,3893,420,33597,56,,,1497,246,6919,499,1489,244,1594,230,3122,455,19.6,2,8.3,1.3,21486,1135,20.1,1.1,15.1,0.1,26.1,0,20.1,12.8,1.4,38.3,0.1,4.7,0.7,4.1,0.7,19.1,1.4,4.9,0.8,5.2,0.8,3.6,0.5,0.7431,0.7905,0.5731,2.8103,0.834,0.415,0.6917,0.8103,0.9289,2.8458,0.9486,0.4704,0.6443,1.1146,0.585,0.7431,0.7075,0.7312,0.5099,0.6957,3.3874,0.9091,10.1581,0.9051,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,16168,1261,18.9,1.5,92227
County,state,2016,county,48,Texas,TX,48007,Aransas County,48007,24729,0,15726,70,9552,427,4124,772,806,285,29426,2997,3072,507,6659,88,4575,41,5583,2.4,540,209,7893,121,,,881,213,3040,361,245,128,418,129,443,157,17,3.2,7.5,2.7,29426,2997,16.8,2.8,26.9,0.4,18.5,0.2,23,5.7,2.2,31.9,0.5,1.6,0.9,5.6,1.4,19.3,2.3,2.6,1.3,4.4,1.3,1.8,0.6,0.5415,0.7352,0.3399,1.7312,0.3834,0.9407,0.0553,0.9051,0.1304,2.0316,0.5296,0.3439,0.1621,0.5059,0.2213,0.83,0.7194,0.2648,0.3439,0.5059,2.664,0.5613,6.9328,0.3953,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,,4329,677,17.8,2.8,22879
County,state,2016,county,48,Texas,TX,48009,Archer County,48009,8750,0,4144,48,3331,142,704,191,148,45,29086,1916,604,78,1557,28,1952,6,1285,1.6,129,44,999,18,,,11,21,372,78,74,35,109,49,78,55,8.1,2.2,3.3,1,29086,1916,9.9,1.3,17.8,0.3,22.3,0.1,14.8,3.9,1.3,11.4,0.2,1.5,1,0.3,0.5,9,1.9,2.2,1.1,3.3,1.5,0.9,0.6,0.0553,0.083,0.0474,0.3162,0.0198,0.6245,0.2727,0.4032,0.0316,1.332,0.087,0.0119,0.1502,0.1621,0.0593,0.1067,0.2134,0.1818,0.1976,0.1779,0.8775,0.0198,2.6877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1086,171,12.5,2,6846
County,state,2016,county,48,Texas,TX,48011,Armstrong County,48011,1913,102,928,27,702,54,177,74,15,17,28542,2588,139,58,419,44,433,65,288,3.6,30,21,312,139,,,6,14,126,41,8,15,10,9,68,59,9.6,4,1.6,1.8,28542,2588,10.2,4.1,21.9,2.5,22.6,3.2,15.6,4.3,3,16.3,7.2,0.3,2.7,0.6,1.5,13.6,4.4,1.1,2.3,1.4,1.3,3.6,3.1,0.087,0.0237,0.0553,0.3202,0.0237,0.83,0.2964,0.4704,0.0474,1.6443,0.2016,0.0711,0.0277,0.0988,0.0356,0.2372,0.415,0.0632,0.0316,0.6917,1.4387,0.0909,3.502,0.0237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,126,73,6.8,4,1476
County,state,2016,county,48,Texas,TX,48013,Atascosa County,48013,47710,0,17854,65,15343,319,7208,1145,1550,407,23416,1678,7426,670,6590,47,13401,70,5400,1.2,1632,284,31100,27,,,48,38,5659,492,981,195,741,196,431,177,15.3,2.4,7.2,1.8,23416,1678,24.7,2.2,13.8,0.1,28.1,0.1,11.4,10.6,1.8,65.2,0.1,4,1,0.3,0.2,31.7,2.7,6.4,1.3,4.8,1.3,0.9,0.4,0.3874,0.7115,0.7668,2.3755,0.6719,0.2964,0.8498,0.1304,0.7391,2.0158,0.5138,0.8538,0.5336,1.3874,0.7115,0.1107,0.9763,0.8617,0.4229,0.1858,2.5573,0.4941,8.336,0.6719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,8687,1069,18.4,2.3,41054
County,state,2016,county,48,Texas,TX,48015,Austin County,48015,29107,0,13005,61,11222,275,4163,900,823,231,28351,1666,3457,427,5181,52,7125,45,3939,1.3,948,245,10534,30,,,190,107,2190,293,472,165,445,156,271,130,14.5,3.1,5.8,1.6,28351,1666,17.6,2.2,17.8,0.2,24.5,0.2,13.7,8.4,2.2,36.2,0.1,4.2,1.1,1.5,0.8,16.8,2.2,4.2,1.5,4,1.4,0.9,0.4,0.3162,0.4506,0.4111,1.3478,0.253,0.6245,0.5415,0.2925,0.4427,1.9012,0.4229,0.4269,0.5494,0.9763,0.4783,0.4387,0.5929,0.6364,0.2925,0.2055,2.166,0.2885,6.3913,0.2885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4749,666,16.5,2.3,29946
County,state,2016,county,48,Texas,TX,48017,Bailey County,48017,7131,0,2745,149,2317,158,1322,462,69,63,17710,2629,1398,229,1019,134,2147,124,1020,3.7,249,142,4598,211,,,29,31,396,209,201,93,112,74,157,105,19.1,6.7,2.1,1.8,17710,2629,32.4,5.7,14.3,1.9,30.1,1.7,14.6,10.7,6.1,64.5,3,18.5,5.6,1.1,1.2,14.4,7.4,8.7,4,4.8,3.2,2.2,1.5,0.7154,0.0395,0.9091,2.581,0.7708,0.3478,0.917,0.3794,0.7549,2.3992,0.8142,0.8379,0.9644,1.8024,0.9209,0.3241,0.4427,0.9368,0.4229,0.5929,2.7194,0.5929,9.502,0.8617,0,0,1,1,2,0,1,0,0,1,0,1,1,0,0,1,0,0,1,,2055,433,29.5,6.2,6606
County,state,2016,county,48,Texas,TX,48019,Bandera County,48019,21015,0,11601,177,8256,367,3409,658,375,142,28547,2208,2108,425,5207,76,3712,43,3949,2.2,459,180,4379,33,,,9,13,3589,390,180,106,163,74,567,430,16.5,3.2,4.1,1.5,28547,2208,13.2,2.7,24.8,0.4,17.7,0.2,19,5.6,2.2,20.8,0.2,0.6,0.6,0.1,0.1,30.9,3.4,2.2,1.3,2,0.9,2.7,2,0.4901,0.166,0.1462,0.9526,0.1265,0.9051,0.0395,0.7549,0.1186,1.8182,0.3478,0.1423,0.0514,0.1937,0.0672,0.0791,0.9723,0.1739,0.0553,0.6285,1.9091,0.1858,4.8735,0.0988,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,,3105,588,14.9,2.8,15879
